start_node;end_node;01:00:00;02:00:00;03:00:00;04:00:00;05:00:00;06:00:00;07:00:00;08:00:00;09:00:00;10:00:00;11:00:00;12:00:00;13:00:00;14:00:00;15:00:00;16:00:00;17:00:00;18:00:00;19:00:00;20:00:00;21:00:00;22:00:00;23:00:00;24:00:00;25:00:00;26:00:00;27:00:00;28:00:00;29:00:00;30:00:00
20852;0;0;0;0;0;0;0;30;39;19;18;25;20;21;31;41;22;31;31;0;0;0;0;0;0;0;0;0;0;0
50628;0;0;0;0;0;0;0;115;218;96;50;88;82;65;74;164;111;88;48;0;0;0;0;0;0;0;0;0;0;0
20851;0;0;0;0;0;0;0;14;36;22;22;25;19;34;29;55;40;47;40;0;0;0;0;0;0;0;0;0;0;0
50627;0;0;0;0;0;0;0;52;236;62;63;83;103;88;141;159;131;112;73;0;0;0;0;0;0;0;0;0;0;0
17247;0;0;0;0;0;0;0;164;250;200;148;154;146;151;186;253;230;204;174;0;0;0;0;0;0;0;0;0;0;0
16356;0;0;0;0;0;0;0;605;651;502;394;419;435;419;514;529;474;452;366;0;0;0;0;0;0;0;0;0;0;0
21188;0;0;0;0;0;0;0;0;3;7;7;6;7;5;3;6;9;2;1;0;0;0;0;0;0;0;0;0;0;0
21187;0;0;0;0;0;0;0;4;5;10;6;8;5;3;3;4;4;5;2;0;0;0;0;0;0;0;0;0;0;0
23001;0;0;0;0;0;0;0;89;153;117;120;111;100;104;124;143;110;125;77;0;0;0;0;0;0;0;0;0;0;0
23002;0;0;0;0;0;0;0;42;68;72;87;84;86;83;86;121;105;98;96;0;0;0;0;0;0;0;0;0;0;0
61567;0;0;0;0;0;0;0;263;328;157;165;178;175;138;225;227;257;332;179;0;0;0;0;0;0;0;0;0;0;0
61568;0;0;0;0;0;0;0;190;269;165;161;198;217;207;183;270;271;396;204;0;0;0;0;0;0;0;0;0;0;0
28411;0;0;0;0;0;0;0;86;97;54;51;74;66;72;95;158;95;154;95;0;0;0;0;0;0;0;0;0;0;0
28410;0;0;0;0;0;0;0;101;117;75;57;69;66;75;59;142;109;113;79;0;0;0;0;0;0;0;0;0;0;0
55649;0;0;0;0;0;0;0;32;64;39;36;50;65;49;45;55;52;86;42;0;0;0;0;0;0;0;0;0;0;0
30901;0;0;0;0;0;0;0;1189;1248;1000;928;913;1126;1248;1232;1548;1636;1638;1137;0;0;0;0;0;0;0;0;0;0;0
16357;0;0;0;0;0;0;0;440;426;401;396;441;540;498;570;608;598;794;459;0;0;0;0;0;0;0;0;0;0;0
17248;0;0;0;0;0;0;0;112;218;173;154;185;173;181;192;245;260;291;232;0;0;0;0;0;0;0;0;0;0;0
59171;0;0;0;0;0;0;0;350;469;295;266;365;396;449;445;634;557;641;431;0;0;0;0;0;0;0;0;0;0;0
21277;0;0;0;0;0;0;0;217;352;199;212;188;210;184;261;354;391;365;250;0;0;0;0;0;0;0;0;0;0;0
48257;0;0;0;0;0;0;0;1007;1236;1035;1120;1329;1511;1477;1632;2030;2198;1939;1551;0;0;0;0;0;0;0;0;0;0;0
37520;0;0;0;0;0;0;0;7;3;7;10;8;14;5;10;5;7;6;5;0;0;0;0;0;0;0;0;0;0;0
59172;0;0;0;0;0;0;0;461;648;396;435;395;386;440;474;659;560;546;505;0;0;0;0;0;0;0;0;0;0;0
42118;0;0;0;0;0;0;0;199;348;379;493;603;563;493;635;636;887;797;435;0;0;0;0;0;0;0;0;0;0;0
42119;0;0;0;0;0;0;0;284;446;334;338;354;352;343;369;317;335;390;252;0;0;0;0;0;0;0;0;0;0;0
54760;0;0;0;0;0;0;0;2108;2068;1587;1411;1458;1508;1546;1874;2127;2654;3124;1936;0;0;0;0;0;0;0;0;0;0;0
55650;0;0;0;0;0;0;0;69;110;44;25;54;35;79;46;95;88;111;64;0;0;0;0;0;0;0;0;0;0;0
58322;0;0;0;0;0;0;0;1761;1492;1218;1258;1202;1268;1302;1562;1825;2234;2389;1776;0;0;0;0;0;0;0;0;0;0;0
54003;0;0;0;0;0;0;0;2160;2407;1876;1502;1508;1512;1563;1647;1875;1546;1671;1302;0;0;0;0;0;0;0;0;0;0;0
29872;0;0;0;0;0;0;0;1777;1773;1537;1479;1687;1593;1737;1825;1997;2323;2361;1575;0;0;0;0;0;0;0;0;0;0;0
4972;0;0;0;0;0;0;0;1622;1542;1096;1171;1746;1298;1388;1525;1348;1510;1797;1438;0;0;0;0;0;0;0;0;0;0;0
56829;0;0;0;0;0;0;0;6;18;23;10;21;16;27;13;23;27;20;22;0;0;0;0;0;0;0;0;0;0;0
2913;0;0;0;0;0;0;0;49;127;91;93;94;76;63;68;122;131;107;104;0;0;0;0;0;0;0;0;0;0;0
13259;0;0;0;0;0;0;0;190;345;232;220;144;169;165;151;350;378;369;204;0;0;0;0;0;0;0;0;0;0;0
2912;0;0;0;0;0;0;0;41;129;73;65;76;83;94;91;107;128;130;72;0;0;0;0;0;0;0;0;0;0;0
27829;0;0;0;0;0;0;0;210;436;263;185;204;191;219;221;318;451;430;289;0;0;0;0;0;0;0;0;0;0;0
27828;0;0;0;0;0;0;0;209;408;234;240;207;229;202;233;339;405;336;284;0;0;0;0;0;0;0;0;0;0;0
14475;0;0;0;0;0;0;0;1311;1769;1281;1544;1593;1811;1708;1989;2259;2384;2202;1741;0;0;0;0;0;0;0;0;0;0;0
56830;0;0;0;0;0;0;0;12;23;19;14;19;17;22;22;24;20;17;19;0;0;0;0;0;0;0;0;0;0;0
37519;0;0;0;0;0;0;0;6;3;8;9;7;10;10;9;8;6;5;5;0;0;0;0;0;0;0;0;0;0;0
54698;0;0;0;0;0;0;0;1987;1927;1439;1421;1411;1311;1180;1436;1792;2223;2104;1461;0;0;0;0;0;0;0;0;0;0;0
57806;0;0;0;0;0;0;0;17;37;14;17;22;13;24;26;13;10;16;26;0;0;0;0;0;0;0;0;0;0;0
57807;0;0;0;0;0;0;0;11;12;21;17;23;15;22;15;27;18;27;34;0;0;0;0;0;0;0;0;0;0;0
53845;0;0;0;0;0;0;0;1286;1439;1380;1142;1104;1108;1138;1034;1222;1524;1686;1335;0;0;0;0;0;0;0;0;0;0;0
14118;0;0;0;0;0;0;0;1733;2287;1855;1543;1555;1704;1679;1623;1809;2023;2267;1797;0;0;0;0;0;0;0;0;0;0;0
36091;0;0;0;0;0;0;0;40;60;28;24;27;13;29;29;48;63;38;26;0;0;0;0;0;0;0;0;0;0;0
36090;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0
21453;0;0;0;0;0;0;0;1862;2146;1499;1337;1710;1747;1748;1849;2210;2329;2604;2048;0;0;0;0;0;0;0;0;0;0;0
58266;0;0;0;0;0;0;0;2344;2502;1752;1770;1655;1677;1635;1840;2070;2578;2500;1976;0;0;0;0;0;0;0;0;0;0;0
2534;0;0;0;0;0;0;0;17;14;16;15;8;14;13;9;10;16;30;25;0;0;0;0;0;0;0;0;0;0;0
2533;0;0;0;0;0;0;0;20;32;14;12;10;13;10;11;9;15;27;26;0;0;0;0;0;0;0;0;0;0;0
51515;0;0;0;0;0;0;0;564;629;338;280;261;287;271;329;376;370;371;348;0;0;0;0;0;0;0;0;0;0;0
51514;0;0;0;0;0;0;0;346;391;277;250;276;332;351;427;591;764;685;411;0;0;0;0;0;0;0;0;0;0;0
53813;0;0;0;0;0;0;0;2251;2175;1806;1582;1592;1619;1738;1769;1977;2040;2096;1654;0;0;0;0;0;0;0;0;0;0;0
13479;0;0;0;0;0;0;0;1820;1786;1444;1435;1376;1345;1239;1289;1345;1479;1626;1235;0;0;0;0;0;0;0;0;0;0;0
